,data_hora
1911,2023-03-21 15
1912,2023-03-21 16
1913,2023-03-21 17
1914,2023-03-21 18
1915,2023-03-21 19
1916,2023-03-21 20
1917,2023-03-21 21
1918,2023-03-21 22
1919,2023-03-21 23
1920,2023-03-22 00
1921,2023-03-22 01
1922,2023-03-22 02
1923,2023-03-22 03
1924,2023-03-22 04
1925,2023-03-22 05
1926,2023-03-22 06
1927,2023-03-22 07
1928,2023-03-22 08
1929,2023-03-22 09
1930,2023-03-22 10
1931,2023-03-22 11
1932,2023-03-22 12
1933,2023-03-22 13
1934,2023-03-22 14
1935,2023-03-22 15
1936,2023-03-22 16
1937,2023-03-22 17
1938,2023-03-22 18
1939,2023-03-22 19
1940,2023-03-22 20
1941,2023-03-22 21
1942,2023-03-22 22
1943,2023-03-22 23
1944,2023-03-23 00
1945,2023-03-23 01
1946,2023-03-23 02
1947,2023-03-23 03
1948,2023-03-23 04
1949,2023-03-23 05
1950,2023-03-23 06
1951,2023-03-23 07
1952,2023-03-23 08
1953,2023-03-23 09
1954,2023-03-23 10
1955,2023-03-23 11
1956,2023-03-23 12
1957,2023-03-23 13
1958,2023-03-23 14
1959,2023-03-23 15
1960,2023-03-23 16
1961,2023-03-23 17
1962,2023-03-23 18
1963,2023-03-23 19
1964,2023-03-23 20
1965,2023-03-23 21
1966,2023-03-23 22
1967,2023-03-23 23
1968,2023-03-24 00
1969,2023-03-24 01
1970,2023-03-24 02
1971,2023-03-24 03
1972,2023-03-24 04
1973,2023-03-24 05
1974,2023-03-24 06
1975,2023-03-24 07
1976,2023-03-24 08
1977,2023-03-24 09
1978,2023-03-24 10
1979,2023-03-24 11
1980,2023-03-24 12
1981,2023-03-24 13
1982,2023-03-24 14
1983,2023-03-24 15
1984,2023-03-24 16
1985,2023-03-24 17
1986,2023-03-24 18
1987,2023-03-24 19
1988,2023-03-24 20
1989,2023-03-24 21
1990,2023-03-24 22
1991,2023-03-24 23
1992,2023-03-25 00
1993,2023-03-25 01
1994,2023-03-25 02
1995,2023-03-25 03
1996,2023-03-25 04
1997,2023-03-25 05
1998,2023-03-25 06
1999,2023-03-25 07
2000,2023-03-25 08
2001,2023-03-25 09
2002,2023-03-25 10
2003,2023-03-25 11
2004,2023-03-25 12
2005,2023-03-25 13
2006,2023-03-25 14
2007,2023-03-25 15
2008,2023-03-25 16
2009,2023-03-25 17
2010,2023-03-25 18
2011,2023-03-25 19
2012,2023-03-25 20
2013,2023-03-25 21
2014,2023-03-25 22
2015,2023-03-25 23
2016,2023-03-26 00
2017,2023-03-26 01
2018,2023-03-26 02
2019,2023-03-26 03
2020,2023-03-26 04
2021,2023-03-26 05
2022,2023-03-26 06
2023,2023-03-26 07
2024,2023-03-26 08
2025,2023-03-26 09
2026,2023-03-26 10
2027,2023-03-26 11
2028,2023-03-26 12
2029,2023-03-26 13
2030,2023-03-26 14
2031,2023-03-26 15
2032,2023-03-26 16
2033,2023-03-26 17
2034,2023-03-26 18
2035,2023-03-26 19
2036,2023-03-26 20
2037,2023-03-26 21
2038,2023-03-26 22
2039,2023-03-26 23
2040,2023-03-27 00
2041,2023-03-27 01
2042,2023-03-27 02
2043,2023-03-27 03
2044,2023-03-27 04
2045,2023-03-27 05
2046,2023-03-27 06
2047,2023-03-27 07
2048,2023-03-27 08
2049,2023-03-27 09
2050,2023-03-27 10
2051,2023-03-27 11
2052,2023-03-27 12
2053,2023-03-27 13
2054,2023-03-27 14
2055,2023-03-27 15
2056,2023-03-27 16
2057,2023-03-27 17
2058,2023-03-27 18
2059,2023-03-27 19
2060,2023-03-27 20
2061,2023-03-27 21
2062,2023-03-27 22
2063,2023-03-27 23
2064,2023-03-28 00
2065,2023-03-28 01
2066,2023-03-28 02
2067,2023-03-28 03
2068,2023-03-28 04
2069,2023-03-28 05
2070,2023-03-28 06
2071,2023-03-28 07
2072,2023-03-28 08
2073,2023-03-28 09
2074,2023-03-28 10
2075,2023-03-28 11
2076,2023-03-28 12
2077,2023-03-28 13
2078,2023-03-28 14
2079,2023-03-28 15
2080,2023-03-28 16
2081,2023-03-28 17
2082,2023-03-28 18
2083,2023-03-28 19
2084,2023-03-28 20
2085,2023-03-28 21
2086,2023-03-28 22
2087,2023-03-28 23
2088,2023-03-29 00
2089,2023-03-29 01
2090,2023-03-29 02
2091,2023-03-29 03
2092,2023-03-29 04
2093,2023-03-29 05
2094,2023-03-29 06
2095,2023-03-29 07
2096,2023-03-29 08
2097,2023-03-29 09
2098,2023-03-29 10
2099,2023-03-29 11
2100,2023-03-29 12
2101,2023-03-29 13
2102,2023-03-29 14
2103,2023-03-29 15
2104,2023-03-29 16
2105,2023-03-29 17
2106,2023-03-29 18
2107,2023-03-29 19
2108,2023-03-29 20
2109,2023-03-29 21
2110,2023-03-29 22
2111,2023-03-29 23
2112,2023-03-30 00
2113,2023-03-30 01
2114,2023-03-30 02
2115,2023-03-30 03
2116,2023-03-30 04
2117,2023-03-30 05
2118,2023-03-30 06
2119,2023-03-30 07
2120,2023-03-30 08
2121,2023-03-30 09
2122,2023-03-30 10
2123,2023-03-30 11
2124,2023-03-30 12
2125,2023-03-30 13
2126,2023-03-30 14
2127,2023-03-30 15
2128,2023-03-30 16
2129,2023-03-30 17
2130,2023-03-30 18
2131,2023-03-30 19
2132,2023-03-30 20
2133,2023-03-30 21
2134,2023-03-30 22
2135,2023-03-30 23
2136,2023-03-31 00
2137,2023-03-31 01
2138,2023-03-31 02
2139,2023-03-31 03
2140,2023-03-31 04
2141,2023-03-31 05
2142,2023-03-31 06
2143,2023-03-31 07
2144,2023-03-31 08
2145,2023-03-31 09
2146,2023-03-31 10
2147,2023-03-31 11
2148,2023-03-31 12
2149,2023-03-31 13
2150,2023-03-31 14
2151,2023-03-31 15
2152,2023-03-31 16
2153,2023-03-31 17
2154,2023-03-31 18
2155,2023-03-31 19
2156,2023-03-31 20
2157,2023-03-31 21
2158,2023-03-31 22
2159,2023-03-31 23
2160,2023-04-01 00
2161,2023-04-01 01
2162,2023-04-01 02
2163,2023-04-01 03
2164,2023-04-01 04
2165,2023-04-01 05
2166,2023-04-01 06
2167,2023-04-01 07
2168,2023-04-01 08
2169,2023-04-01 09
2170,2023-04-01 10
2171,2023-04-01 11
2172,2023-04-01 12
2173,2023-04-01 13
2174,2023-04-01 14
2175,2023-04-01 15
2176,2023-04-01 16
2177,2023-04-01 17
2178,2023-04-01 18
2179,2023-04-01 19
2180,2023-04-01 20
2181,2023-04-01 21
2182,2023-04-01 22
2183,2023-04-01 23
2184,2023-04-02 00
2185,2023-04-02 01
2186,2023-04-02 02
2187,2023-04-02 03
2188,2023-04-02 04
2189,2023-04-02 05
2190,2023-04-02 06
2191,2023-04-02 07
2192,2023-04-02 08
2193,2023-04-02 09
2194,2023-04-02 10
2195,2023-04-02 11
2196,2023-04-02 12
2197,2023-04-02 13
2198,2023-04-02 14
2199,2023-04-02 15
2200,2023-04-02 16
2201,2023-04-02 17
2202,2023-04-02 18
2203,2023-04-02 19
2204,2023-04-02 20
2205,2023-04-02 21
2206,2023-04-02 22
2207,2023-04-02 23
2208,2023-04-03 00
2209,2023-04-03 01
2210,2023-04-03 02
2211,2023-04-03 03
2212,2023-04-03 04
2213,2023-04-03 05
2214,2023-04-03 06
2215,2023-04-03 07
2216,2023-04-03 08
2217,2023-04-03 09
2218,2023-04-03 10
2219,2023-04-03 11
2220,2023-04-03 12
2221,2023-04-03 13
2222,2023-04-03 14
2223,2023-04-03 15
2224,2023-04-03 16
2225,2023-04-03 17
2226,2023-04-03 18
2227,2023-04-03 19
2228,2023-04-03 20
2229,2023-04-03 21
2230,2023-04-03 22
2231,2023-04-03 23
2232,2023-04-04 00
2233,2023-04-04 01
2234,2023-04-04 02
2235,2023-04-04 03
2236,2023-04-04 04
2237,2023-04-04 05
2238,2023-04-04 06
2239,2023-04-04 07
2240,2023-04-04 08
2241,2023-04-04 09
2242,2023-04-04 10
2243,2023-04-04 11
2244,2023-04-04 12
2245,2023-04-04 13
2246,2023-04-04 14
2247,2023-04-04 15
2248,2023-04-04 16
2249,2023-04-04 17
2250,2023-04-04 18
2251,2023-04-04 19
2252,2023-04-04 20
2253,2023-04-04 21
2254,2023-04-04 22
2255,2023-04-04 23
